country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.71999979,Female,Units,%,Modelled,,,Total
Afghanistan,AF,AFG,4,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.890000343,Male,Units,%,Modelled,,,Total
Afghanistan,AF,AFG,4,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.849999905,Total,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.74000001,Female,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.029999971,Male,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.890000105,Total,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.799999952,Female,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.190000057,Male,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4,Total,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.8399999738,Female,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.9300000072,Male,Units,%,Modelled,,,Total
